;TIME;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
OECD Americas;Nuclear;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Americas;Hydro;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Americas;Geothermal;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8968;9074;10023;10762;14771;14771;16775;19308;23211;1477;1372;10752;10364;9774;10355;10969;11280;11828;11108;43934;14096;..
OECD Americas;Solar/wind/other;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;414;443;480;542;599;604;661;728;818;64228;61340;58223;57014;54539;54713;53667;55791;58071;59188;59848;6285;7826;9310;10967;12678;14482;16200;13307;36610;45275;..
OECD Americas;Biofuels and waste;..;..;..;..;..;..;..;..;..;..;..;478681;452108;459906;458838;462189;463572;470686;475892;481061;485022;488375;491833;496995;502211;507641;520995;516033;525421;526867;672793;677365;659253;1212593;1212916;1273062;1276250;1065140;1130097;1063048;1082242;982398;940114;1024754;1004216;1073813;977695;1022701;1044434;1019665;1147239;1152575;1079096;1270173;1190807;1032599;960268;914152;1022264;1104495;..
OECD Americas;Heat production from non-specified combustible fuels;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Americas;Electricity;..;..;..;..;..;..;..;..;..;..;..;1998162;2238865;2319545;2330284;2389324;2483212;2647361;2767464;2808464;2955604;2986542;3034012;3131435;3247229;3323372;3434411;3563935;3755120;3847118;3928093;4047588;3992954;4216640;4280767;4404607;4564832;4535590;4703670;4784926;4982828;5049392;5286301;5350226;5426356;5678219;5640559;5840784;5811739;5768280;6062656;6013656;5841234;5927263;6035962;5983643;6016568;5891244;6248718;6162115;..
OECD Americas;Heat;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;109;7;0;0;0;0;2;0;0;0;0;0;..
OECD Americas;Total;..;..;..;..;..;..;..;..;..;..;..;11468224;11969573;11639782;11289608;11364397;11899279;11759452;11882287;11365245;10951985;10512854;10577284;10287660;10696415;10603842;10607365;10756861;11385277;11688208;11125585;11420179;11568279;12712860;12666946;12851256;13545282;13018146;12590785;12986628;13565418;13261305;13467010;13908884;13664108;13892373;13106702;13814343;13842289;13578480;13867853;13632619;12669321;13777666;14009548;13333036;12934204;12867859;14035617;14003038;..
OECD Americas;Memo: Renewables;..;..;..;..;..;..;..;..;..;..;..;478681;452108;459906;458838;462189;463572;470686;475892;481061;485022;488375;491833;496995;502211;507641;520995;516033;525421;526867;673207;677808;659733;1213135;1213515;1273666;1276911;1065868;1130915;1136244;1152656;1050644;1007890;1094064;1073700;1144255;1052794;1103983;1105099;1080885;1164276;1170765;1098180;1291495;1214454;1058361;988296;938567;1102808;1163866;..
OECD Americas;Memo: Coal, peat and oil shale;..;..;..;..;..;..;..;..;..;..;..;198903;160479;157663;134474;109870;109973;110335;101705;86911;77377;78473;84817;85575;91766;80811;80440;74668;74790;65850;71769;86014;86838;87560;83919;81564;80809;119319;79854;79163;61021;56987;4533;4455;4292;4970;6306;4447;4263;4962;3814;4074;3995;3740;4008;3031;3025;3049;2905;2966;..
OECD Americas;Memo: Primary and secondary oil;..;..;..;..;..;..;..;..;..;..;..;3680361;3843573;3702657;3418869;3330888;3636702;3543885;3423609;2793799;2419258;2136387;2002336;1856198;1944307;1865170;1887492;1930863;2012535;2043354;1638740;1622863;1689208;1785843;1751422;1751852;1844331;1815875;1687351;1781577;1870789;1836613;1755724;1811863;1756843;1689824;1497990;1541734;1437959;1393755;1354129;1170007;1032008;1082967;1031956;1037414;971670;973263;1011875;978090;..
OECD Americas;Memo: Geothermal, solar/wind/other, heat, electricity;..;..;..;..;..;..;..;..;..;..;..;1998162;2238865;2319545;2330284;2389324;2483212;2647361;2767464;2808464;2955604;2986542;3034012;3131435;3247229;3323372;3434411;3563935;3755120;3847118;3928509;4048031;3993434;4217182;4281366;4405211;4565493;4536318;4704488;4858122;5053242;5117638;5354077;5419536;5495840;5748661;5715662;5922066;5872513;5829507;6079693;6031846;5860318;5948585;6059611;6009405;6044596;5915659;6329262;6221486;..
OECD Asia Oceania;Coal and coal products;..;..;..;..;..;..;..;..;..;..;..;410132;401864;443898;460508;453831;467347;475197;444262;470409;493619;506785;465969;478273;504571;537873;554589;535132;534088;459074;370473;289421;216518;152320;93609;61555;42338;31098;27622;24113;25498;25969;24879;25043;29167;41624;47280;42841;44791;38492;36470;35882;34668;36082;30679;27835;23729;21199;19549;12751;..
OECD Asia Oceania;Peat and peat products;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Asia Oceania;Oil shale and oil sands;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Asia Oceania;Crude, NGL and feedstocks;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Asia Oceania;Oil products;..;..;..;..;..;..;..;..;..;..;..;312190;344987;409791;424437;438804;477237;510467;518810;509215;465438;505310;610834;652180;721194;719454;741782;758473;831927;797308;692008;689392;721990;760056;749553;817011;853779;802400;767642;847367;941814;912623;936035;877803;867267;872077;833637;809202;758859;757226;794745;781771;770663;709132;669669;658658;678753;719651;627689;631667;..
OECD Asia Oceania;Natural gas;..;..;..;..;..;..;..;..;..;..;..;32825;43751;65678;77328;74101;109469;127719;154607;164518;164680;175661;173047;191815;232237;232624;256301;267628;277598;307783;410476;438215;474195;505587;504223;569965;620628;651092;657889;719016;751019;753928;832079;858114;817966;864521;857675;859998;852990;857785;893759;895290;906516;895675;872620;854562;893230;934282;915056;908082;..
OECD Asia Oceania;Nuclear;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Asia Oceania;Hydro;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Asia Oceania;Geothermal;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;417;417;417;417;417;417;417;417;417;417;417;1630;2438;2438;2438;2439;2607;2526;2449;2492;2574;2690;3006;3110;3462;3627;3809;3948;4005;4190;..
OECD Asia Oceania;Solar/wind/other;..;..;..;..;..;..;..;..;..;..;..;0;0;0;108;140;189;269;391;568;815;1030;1269;1553;1809;11778;15835;16420;17072;17684;67031;69050;70334;71608;72817;73031;72631;71192;67920;63736;62778;60951;59901;58262;58116;57276;56316;59025;71896;70649;74769;73455;39525;40610;40829;41544;41033;41365;40106;40309;..
OECD Asia Oceania;Biofuels and waste;..;..;..;..;..;..;..;..;..;..;..;83892;88079;83863;79707;76573;73649;70861;68076;69571;71363;73356;79431;78752;78613;78272;79067;78736;80240;80043;98009;94090;93845;106101;92815;91679;86931;88052;87589;86672;89289;90944;94432;86701;76430;70514;69616;71449;69023;67420;65020;63015;63836;66395;61424;62250;63615;63671;63166;63614;..
OECD Asia Oceania;Heat production from non-specified combustible fuels;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Asia Oceania;Electricity;..;..;..;..;..;..;..;..;..;..;..;318758;355957;392530;396205;442418;473116;506322;549500;575305;581033;607900;641606;683194;707342;728568;750013;792403;829220;876308;914336;947757;987916;1016463;1093798;1139333;1168556;1193400;1221330;1254530;1291709;1313623;1361450;1378363;1428148;1470287;1467498;1501515;1509004;1510751;1616822;1573883;1601127;1570523;1512951;1515144;1532596;1548038;1507854;1472437;..
OECD Asia Oceania;Heat;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1284;1342;1395;1382;17418;23662;28120;30701;30968;40266;46137;47401;48707;52154;55020;62006;58521;59608;62852;65830;74910;76748;80068;78625;73517;65986;72037;79928;86862;84589;..
OECD Asia Oceania;Total;..;..;..;..;..;..;..;..;..;..;..;1157797;1234638;1395759;1438293;1485868;1601007;1690835;1735647;1789587;1776948;1870042;1972157;2085766;2245767;2308569;2397587;2448793;2570145;2538200;2554034;2529684;2566610;2613934;2624649;2776652;2873399;2868351;2861377;3036116;3208659;3207069;3359922;3338877;3334551;3440744;3393150;3406163;3371864;3370645;3559069;3502735;3499409;3400152;3265149;3229607;3308804;3412083;3264286;3217640;..
OECD Asia Oceania;Memo: Renewables;..;..;..;..;..;..;..;..;..;..;..;83892;88079;83863;79815;76713;73838;71130;68467;70139;72178;74386;80700;80305;80422;90050;94902;95156;97312;97727;165457;163557;164595;178126;166049;165126;159979;159660;155926;150824;152483;153525;156771;147400;136984;130229;128539;132999;143368;140561;142363;139160;106366;110114;105714;107421;108458;108983;107276;108113;..
OECD Asia Oceania;Memo: Coal, peat and oil shale;..;..;..;..;..;..;..;..;..;..;..;410132;401864;443898;460508;453831;467347;475197;444262;470409;493619;506785;465969;478273;504571;537873;554589;535132;534088;459074;370473;289421;216518;152320;93609;61555;42338;31098;27622;24113;25498;25969;24879;25043;29167;41624;47280;42841;44791;38492;36470;35882;34668;36082;30679;27835;23729;21199;19549;12751;..
OECD Asia Oceania;Memo: Primary and secondary oil;..;..;..;..;..;..;..;..;..;..;..;312190;344987;409791;424437;438804;477237;510467;518810;509215;465438;505310;610834;652180;721194;719454;741782;758473;831927;797308;692008;689392;721990;760056;749553;817011;853779;802400;767642;847367;941814;912623;936035;877803;867267;872077;833637;809202;758859;757226;794745;781771;770663;709132;669669;658658;678753;719651;627689;631667;..
OECD Asia Oceania;Memo: Geothermal, solar/wind/other, heat, electricity;..;..;..;..;..;..;..;..;..;..;..;318758;355957;392530;396313;442558;473305;506591;549891;575873;581848;608930;642875;684747;709151;740346;765848;808823;846292;893992;983068;1018566;1060062;1089869;1184450;1236442;1269723;1295709;1320635;1358948;1401040;1423605;1472496;1491216;1543721;1592008;1584942;1622674;1646201;1649722;1769076;1726776;1723726;1692868;1630758;1626302;1649476;1673280;1638826;1601524;..
OECD Europe;Coal and coal products;..;..;..;..;..;..;..;..;..;..;..;3081782;2828454;2596891;2468739;2191669;2155359;2102654;2032061;2153000;2082725;2023626;2081451;1942328;1914875;2125629;2137177;2201120;2058126;1831132;1446759;1390848;1169061;1144768;948808;854722;875188;762217;589943;558682;466234;458567;472262;464751;473184;484654;512846;481168;518716;562330;630189;549103;560628;511729;452631;451744;466645;462245;430106;345441;..
OECD Europe;Peat and peat products;..;..;..;..;..;..;..;..;..;..;..;22283;21429;17393;20541;26291;26457;28310;26499;27099;27100;27053;28723;29812;21115;23082;24341;29280;27192;27204;34849;30383;30753;31769;27791;28092;23251;21530;21103;15130;13684;13043;13262;12431;12173;12567;13001;12420;12777;12310;11687;11176;10123;10217;9317;9152;8995;8685;9123;8441;..
OECD Europe;Oil shale and oil sands;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;26;9;0;0;0;0;9;9;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Europe;Crude, NGL and feedstocks;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Europe;Oil products;..;..;..;..;..;..;..;..;..;..;..;3755653;4006457;4238622;3690822;3717939;3898322;3741457;3997720;3981300;3413740;3103685;2882839;2784193;2819973;3361298;3378617;3208192;2997748;2732387;2770602;3014130;2937018;2941485;2763219;2831069;2996040;2919715;2923086;2744335;2635057;2810541;2582046;2607030;2530886;2510829;2397696;1901424;2163544;1992689;1996460;1730012;1699387;1725314;1487677;1505787;1450018;1417944;1343336;1361608;..
OECD Europe;Natural gas;..;..;..;..;..;..;..;..;..;..;..;580795;780536;970835;1146524;1383975;1573793;1660406;1844702;2025445;2104424;2130290;2103641;2153866;2710049;2960690;3070220;3206104;3083803;3134408;3134861;3612703;3593083;3805893;3737873;3974301;4526021;4244555;4337608;4403746;4587325;4822954;4788382;5004204;5083718;5091652;5004440;4716409;4870395;4768423;5252264;4601781;4894171;4992461;4142228;4481088;4752567;4733162;4701415;4729323;..
OECD Europe;Nuclear;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Europe;Hydro;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Europe;Geothermal;..;..;..;..;..;..;..;..;..;..;..;10033;10565;12204;12684;14341;14961;15667;16058;18579;18794;21236;22694;25110;28506;32080;35859;36832;39734;40044;20592;20604;22218;22550;23330;24510;25764;28215;30326;31782;32120;34926;35103;37480;38761;40659;39455;39219;43807;54087;60285;63370;47706;47760;47757;58010;57825;55258;58273;58415;..
OECD Europe;Solar/wind/other;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;11;36;354;436;536;611;695;801;1085;1326;1447;4207;6433;7401;8681;10282;12241;13112;14180;16404;18363;20568;22936;24786;27562;31858;33836;36367;41205;45754;51419;59260;66453;79061;85057;89241;93517;98885;100127;102419;108477;108156;..
OECD Europe;Biofuels and waste;..;..;..;..;..;..;..;..;..;..;..;731186;746405;771437;757346;779226;788678;789833;806208;846975;833926;858417;871756;908044;955173;998537;933439;948387;918480;1036665;1218177;1294456;1283200;1402790;1350628;1352208;1396292;1411275;1419206;1382644;1385121;1419064;1417062;1517569;1449318;1536089;1587356;1681726;1804227;1813628;1916666;1691430;1911700;1944896;1714665;1773778;1772863;1775947;1704417;1721233;..
OECD Europe;Heat production from non-specified combustible fuels;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Europe;Electricity;..;..;..;..;..;..;..;..;..;..;..;1002521;1094706;1206763;1257131;1319681;1402466;1473448;1570223;1656616;1700449;1734962;1775030;1843049;1944922;2057368;2120681;2215451;2192573;2232670;2306704;2368310;2399508;2444342;2479993;2511245;2649787;2630833;2689668;2742732;2763253;2856450;2881618;3001595;3054981;3090472;3139792;3124276;3168655;3178987;3307747;3180143;3257277;3247303;3101614;3150600;3208595;3217093;3222564;3215176;..
OECD Europe;Heat;..;..;..;..;..;..;..;..;..;..;..;262895;310957;324642;348821;370015;434300;443921;486830;516286;569367;579009;598090;665605;739320;813186;801524;827017;789963;778101;878717;923275;940709;966186;961358;969525;1016431;965396;971517;962560;856171;943140;904086;864194;877530;866613;831551;855700;849948;848753;950169;847543;867088;917617;820269;866425;910148;911627;871681;866766;..
