;TIME;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
OECD Americas;Nuclear;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Americas;Hydro;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Americas;Geothermal;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4326;4642;5064;5064;4009;4009;4537;4642;4959;4959;4431;0;0;0;0;0;0;0;0;0;0;..
OECD Americas;Solar/wind/other;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;36;39;44;49;49;55;59;66;74;85;102;112;130;145;164;184;212;152;186;218;265;333;381;415;462;519;598;671;736;..
OECD Americas;Biofuels and waste;..;..;..;..;..;..;..;..;..;..;..;1386514;1454347;1509651;1505224;1353801;1518200;1586398;1746169;1765974;1766348;1740825;1739783;1923867;2200543;2150633;2250214;2501015;2489219;829814;765103;768021;861877;752985;773139;904541;859515;948216;1034963;1920254;1966607;1676404;1568860;1657359;1786751;1861263;2025954;1945274;1816883;1679161;1584544;1628202;1619688;1724477;1746847;1725989;1665069;1720771;1860414;1858182;..
OECD Americas;Heat production from non-specified combustible fuels;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Americas;Electricity;..;..;..;..;..;..;..;..;..;..;..;2493572;2644592;2800649;2834834;2762255;3013254;3140197;3268375;3374320;3324524;3381606;3050856;3184715;3515033;3541507;3456328;3604536;3810596;3900791;3981564;4332834;4432162;4477601;4665690;4756993;4805147;4875113;4957902;5121022;5274655;4944510;4325036;4473742;4515520;4530884;4552240;4606888;4499456;4090212;4228499;4377920;4402328;4389671;4325933;4254563;4246895;4208798;4201955;4171192;..
OECD Americas;Heat;..;..;..;..;..;..;..;..;..;..;..;0;0;4003;9006;8005;8005;5003;17011;43153;42045;45248;62208;49862;45751;33262;31609;31407;15957;24049;26366;216638;258037;253038;232850;252271;250982;250304;255206;244335;208369;200493;195788;197309;140599;143525;267744;268469;259008;260351;237758;244904;243023;220563;219395;205398;245503;220152;231550;222540;..
OECD Americas;Total;..;..;..;..;..;..;..;..;..;..;..;17759473;18293372;19216313;18601357;16413799;17251784;18448647;18273254;19657195;19529561;19129167;17025928;16333291;17893191;17809419;17369644;18068334;18629934;16459029;15297843;15310624;15044748;15111789;15469096;15085718;15318668;15900034;15964225;16624056;17933873;16773487;15510228;15622711;16173229;15573333;16130106;15962922;15671831;13923836;15114795;15042545;15082211;15208754;15169401;15134093;15279627;15221508;15608801;15368276;..
OECD Americas;Memo: Renewables;..;..;..;..;..;..;..;..;..;..;..;1386514;1454347;1509651;1505224;1353801;1518200;1586398;1746169;1765974;1766348;1740825;1739783;1923867;2200543;2150633;2250214;2501015;2489219;829814;763574;767057;860916;697173;727169;897726;852760;943210;1027818;1816450;1842191;1593128;1487045;1577288;1730475;1799784;1949204;1853102;1765094;1610142;1540409;1583491;1583887;1696059;1720165;1701843;1639896;1697542;1837148;1834148;..
OECD Americas;Memo: Coal, peat and oil shale;..;..;..;..;..;..;..;..;..;..;..;2851289;2864145;2842164;2683458;2404441;2350380;2469604;2536114;2551392;2326932;2451507;2027935;2123536;2309319;2309538;2223385;2172728;2247221;2136793;2167971;2147028;1573280;1472820;1480763;1417258;1383659;1465538;1467968;1515495;1555680;1557630;1491523;1575597;1637042;1551455;1656691;1549829;1548699;1191329;1427573;1427386;1205331;1279721;1216473;1154129;988419;1049736;1004714;935660;..
OECD Americas;Memo: Primary and secondary oil;..;..;..;..;..;..;..;..;..;..;..;3424798;3715264;3865915;3661209;3218182;3630423;4556410;4015942;5027677;4584399;3986262;3868410;2913850;3131972;3384950;3427441;3393452;3237126;3206152;2562416;2315861;2442185;2480797;2523352;1801102;1903498;1800921;1762066;1564363;1806125;2040670;1880679;1853772;2135065;2164637;2179157;2043918;2020562;1789770;1894639;1485132;1474944;1486537;1387909;1492761;1560751;1471342;1495294;1383516;..
OECD Americas;Memo: Geothermal, solar/wind/other, heat, electricity;..;..;..;..;..;..;..;..;..;..;..;2493572;2644592;2804652;2843840;2770260;3021259;3145200;3285386;3417473;3366569;3426854;3113064;3234577;3560784;3574769;3487937;3635943;3826553;3924840;4007964;4549508;4690238;4730683;4898589;5009313;5056184;5125476;5213174;5369757;5487751;5150169;4526000;4675190;4660273;4679110;4824810;4880528;4763575;4355180;4466475;4623089;4645684;4610615;4545743;4460423;4492917;4429548;4434176;4394468;..
OECD Asia Oceania;Coal and coal products;..;..;..;..;..;..;..;..;..;..;..;945602;1045402;1030685;1045825;1066994;1042016;1009821;926180;1027549;1147829;1237979;1163209;1083091;1165080;1226069;1172919;1135340;1239147;1262420;1400852;1420777;1370474;1390231;1390668;1432629;1452405;1445539;1282624;1265626;1387185;1390312;1364070;1390521;1375419;1362746;1406715;1431882;1414589;1263381;1371959;1393421;1366668;1384242;1352321;1387734;1321495;1324791;1353772;1278925;..
OECD Asia Oceania;Peat and peat products;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Asia Oceania;Oil shale and oil sands;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;737;727;..
OECD Asia Oceania;Crude, NGL and feedstocks;..;..;..;..;..;..;..;..;..;..;..;18447;9480;11439;8717;9781;8827;9896;9534;9018;2935;2300;90;90;136;136;131;175;131;130;946;735;885;967;988;1630;1534;1803;2056;2029;1047;1066;1201;1427;1442;1781;1882;1875;1701;1482;1694;1457;1626;1615;1675;1677;1406;1595;1587;800;..
OECD Asia Oceania;Oil products;..;..;..;..;..;..;..;..;..;..;..;2647084;2660390;3003683;2937536;2615447;2738562;2627640;2541359;2599532;2232841;1928321;2035025;1978619;2043683;1947009;1927738;2002497;2063089;2136270;2270391;2299078;2314526;2361586;2458433;2483752;2478943;2361437;2189250;2290497;2212551;2117321;2082608;1957540;1892351;1827979;1787025;1656380;1494606;1421658;1405532;1425284;1349548;1360764;1307942;1193404;1130575;1109822;1114623;1083621;..
OECD Asia Oceania;Natural gas;..;..;..;..;..;..;..;..;..;..;..;99594;111117;124886;143864;146188;160063;197251;209672;217735;243547;256839;260287;266837;290281;324424;341270;357511;369500;396543;470853;494260;506771;533518;577112;611382;636561;655184;663166;707963;780072;812269;847500;876179;935054;953982;980784;1027916;1029311;1000186;1089969;1168168;1211474;1240689;1215933;1132387;1131095;1124982;1147282;1145827;..
OECD Asia Oceania;Nuclear;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Asia Oceania;Hydro;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Asia Oceania;Geothermal;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4667;4669;4778;4993;5123;5083;5064;5087;5088;5232;5382;5493;5355;5360;5637;5741;5680;5847;5837;6087;5781;5190;5168;4285;4774;5072;5049;5123;4955;4999;..
OECD Asia Oceania;Solar/wind/other;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;6;9;11;16;9;19;18;25;22;26;0;47;44;62;70;75;..
OECD Asia Oceania;Biofuels and waste;..;..;..;..;..;..;..;..;..;..;..;63752;62475;62509;81593;85551;89868;95383;97192;89425;92939;99555;192534;194201;197242;202807;156227;161970;167098;177672;189254;188345;175139;187440;194751;216514;234749;251381;243991;257508;282423;266117;293527;264923;281334;298676;311342;330143;319912;311742;360626;367778;369722;401641;396692;405826;419773;449278;414316;391958;..
OECD Asia Oceania;Heat production from non-specified combustible fuels;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Asia Oceania;Electricity;..;..;..;..;..;..;..;..;..;..;..;988715;1087600;1192856;1181916;1179151;1264720;1305335;1366387;1442585;1419124;1403856;1250816;1307063;1391227;1432764;1441613;1526044;1631632;1729534;2006378;2032358;2014308;2012202;2101583;2121303;2185195;2220698;2151861;2224450;2412906;2386244;2430942;2383478;2450280;2492697;2527080;2609220;2459251;2388883;2578220;2571286;2575845;2602682;2603970;2555333;2566574;2602039;2629151;2584320;..
OECD Asia Oceania;Heat;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;88980;84700;86140;79585;121154;119114;119592;125528;125417;113164;97895;101824;89104;88910;105177;107644;117291;121411;132400;133359;..
OECD Asia Oceania;Total;..;..;..;..;..;..;..;..;..;..;..;4763195;4976464;5426058;5399451;5103113;5304056;5245326;5150324;5385844;5139215;4928851;4901961;4829901;5087650;5133209;5039898;5183536;5470597;5702569;6343341;6440222;6386881;6490937;6728658;6872292;6994450;6941128;6538036;6753305;7170547;7063523;7111344;6959016;7062676;7062725;7140110;7188808;6850632;6506602;6911695;7034434;6969176;7084856;6988482;6789126;6693303;6739103;6798892;6624611;..
OECD Asia Oceania;Memo: Renewables;..;..;..;..;..;..;..;..;..;..;..;63752;62475;62509;81593;85551;89868;95383;97192;89425;92939;99555;192534;194201;197242;202807;150227;155287;159421;169778;174728;171438;153806;162452;170933;181735;215572;228257;215101;222782;235283;221835;250211;214705;223833;241429;245796;258723;242995;239432;283339;275254;279769;301039;299666;291087;288744;302810;291392;272915;..
OECD Asia Oceania;Memo: Coal, peat and oil shale;..;..;..;..;..;..;..;..;..;..;..;945602;1045402;1030685;1045825;1066994;1042016;1009821;926180;1027549;1147829;1237979;1163209;1083091;1165080;1226069;1172919;1135340;1239147;1262420;1400852;1420777;1370474;1390231;1390668;1432629;1452405;1445539;1282624;1265626;1387185;1390312;1364070;1390521;1375419;1362746;1406715;1431882;1414589;1263381;1371959;1393421;1366668;1384242;1352321;1387734;1321495;1324791;1354509;1279652;..
OECD Asia Oceania;Memo: Primary and secondary oil;..;..;..;..;..;..;..;..;..;..;..;2665532;2669870;3015122;2946253;2625228;2747389;2637535;2550893;2608550;2235776;1930621;2035115;1978709;2043819;1947145;1927869;2002672;2063220;2136400;2271337;2299813;2315411;2362552;2459421;2485382;2480477;2363239;2191306;2292527;2213599;2118387;2083809;1958967;1893793;1829760;1788907;1658255;1496307;1423139;1407226;1426741;1351174;1362380;1309617;1195081;1131981;1111417;1116210;1084421;..
OECD Asia Oceania;Memo: Geothermal, solar/wind/other, heat, electricity;..;..;..;..;..;..;..;..;..;..;..;988715;1087600;1192856;1181916;1179151;1264720;1305335;1366387;1442585;1419124;1403856;1250816;1307063;1391227;1432764;1441613;1526044;1631632;1729534;2011045;2037027;2019086;2017195;2106706;2126385;2190258;2225785;2156949;2229682;2507268;2476437;2522439;2468426;2577076;2617561;2652362;2740612;2590514;2508153;2681915;2678326;2670139;2695903;2713920;2668096;2688959;2728635;2766575;2722752;..
OECD Europe;Coal and coal products;..;..;..;..;..;..;..;..;..;..;..;3976010;3740885;3809947;3729560;3444559;3416879;3365009;3247427;3415331;3274698;3321811;3281314;3330119;3573529;3703342;3449869;3491413;3525935;3460456;2901219;2560031;2336233;2152981;2115559;2155394;2190726;2138527;1949968;1720186;1894760;1683815;1631814;1708206;1668732;1541354;1641062;1694334;1398403;1147133;1281700;1320980;1267461;1207846;1179429;1167698;1186587;1172672;1119507;1048797;..
OECD Europe;Peat and peat products;..;..;..;..;..;..;..;..;..;..;..;8156;8257;8701;8742;7084;8307;7269;9161;11615;12151;13709;15414;15766;15369;15697;20392;19008;16149;17241;16484;12259;14333;10963;15747;11130;15303;13037;19971;14548;12683;13525;12269;12442;10158;9924;12569;12901;12078;9198;10710;10391;8713;7609;8382;7582;6807;6446;7051;6734;..
OECD Europe;Oil shale and oil sands;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12501;3114;3024;2340;3312;4724;4418;2998;3237;1912;2147;1998;1702;1376;2142;3131;2445;3378;3186;1749;1716;3056;2101;1716;1376;643;390;798;922;1002;..
OECD Europe;Crude, NGL and feedstocks;..;..;..;..;..;..;..;..;..;..;..;0;0;4736;3584;2816;2859;2773;2603;2901;3605;3862;3993;4163;4121;4334;4633;3651;3097;2372;1694;1400;853;640;683;597;555;512;512;469;508;508;508;508;508;508;508;508;508;508;508;508;508;508;296;0;0;0;0;0;..
OECD Europe;Oil products;..;..;..;..;..;..;..;..;..;..;..;5980933;6040365;6288300;5958182;5473140;5607223;5597242;5526443;5596319;4892500;4194410;3724338;3558418;3184747;2979108;2944508;2834367;2709587;2564483;2591372;2586931;2437759;2466289;2460349;2394196;2376390;2399375;2355812;2297078;2261624;2240253;2213621;2295961;2170701;2053821;1987344;1893977;1788700;1589845;1558538;1451796;1393385;1243488;1187877;1234713;1127789;1227308;1300153;1197427;..
OECD Europe;Natural gas;..;..;..;..;..;..;..;..;..;..;..;1555044;1903608;2178288;2427868;2372281;2610586;2790478;2755023;2935108;2804357;2759476;2643499;2659387;2764063;2793309;2729156;2956254;3015830;3147613;3311350;3290952;3314034;3316250;3327333;3521905;3672734;3739711;3830553;3922417;4129823;4152853;4134405;4206027;4091169;4160803;3948610;4018210;3867496;3352226;3723198;3731562;3730748;3794372;3715564;3619556;3671024;3874374;3868380;3791779;..
OECD Europe;Nuclear;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Europe;Hydro;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Europe;Geothermal;..;..;..;..;..;..;..;..;..;..;..;1450;1574;1240;1226;1303;1267;1068;1058;1120;1043;1369;1532;1695;1538;1701;1597;1330;1453;1871;352;357;369;375;388;399;411;424;437;452;446;439;433;504;515;523;521;567;585;555;667;670;752;777;760;654;671;722;656;658;..
OECD Europe;Solar/wind/other;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84;167;339;548;717;843;1221;1599;1936;2467;2931;3227;4113;4999;5044;5051;5145;5161;5192;5391;5414;5544;5883;8421;11753;12172;12339;12503;12740;13068;13623;12904;..
OECD Europe;Biofuels and waste;..;..;..;..;..;..;..;..;..;..;..;183007;188116;206076;220814;223002;224894;217681;235818;250254;245834;248616;246423;268091;388247;385480;397382;410957;440000;490484;607137;588568;584561;610536;640671;685190;685410;712102;714081;709808;717782;679795;699201;738621;779418;806155;844671;889102;872584;868031;949391;979449;942213;980347;994661;1051356;1092743;1105707;1184856;1215693;..
OECD Europe;Heat production from non-specified combustible fuels;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
