;TIME;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
OECD Americas;Hydro;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Americas;Geothermal;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7069;8019;8757;9285;12661;12661;14349;14771;15193;3798;3376;0;0;0;0;0;0;0;0;0;0;..
OECD Americas;Solar/wind/other;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;279;298;324;365;404;407;445;490;551;616;699;838;932;1072;1190;1359;1515;1749;1254;1538;77839;80485;83116;85380;87743;89983;75941;74433;79351;80708;..
OECD Americas;Biofuels and waste;..;..;..;..;..;..;..;..;..;..;..;3199;2223;0;184;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11047;11601;12067;56772;58536;59338;60189;42099;47216;51423;52055;40094;53185;87210;90795;86039;90536;88250;96760;95085;70802;76881;63022;69204;90623;91998;87777;96066;101113;92504;..
OECD Americas;Heat production from non-specified combustible fuels;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Americas;Electricity;..;..;..;..;..;..;..;..;..;..;..;1432901;1534964;1740179;1822262;1926342;2035620;2138285;2198354;2255807;2317165;2462659;2521919;2577636;2715156;2853014;2982542;3119087;3222756;3367595;3470371;3549409;3533299;3673285;3780677;3936863;4038444;4225453;4374126;4514285;4742334;4870642;4918572;4909349;5038762;5139425;5225620;5380582;5395745;5298984;5394096;5402851;5386032;5458547;5521208;5561086;5564873;5576436;5672804;5656985;..
OECD Americas;Heat;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;663;1095;494;951;67171;72136;58626;66987;70057;66953;99539;90272;68727;63662;66380;88400;89409;94457;93132;77929;77102;46722;42917;42863;42394;27488;31232;64674;67088;64988;61207;58322;58363;57435;51867;49676;50213;60206;52943;55932;53306;..
OECD Americas;Total;..;..;..;..;..;..;..;..;..;..;..;6807685;7044899;6976826;6880875;6746902;7326597;7271217;7319188;7252432;6837195;6733335;6902218;6922106;7193975;7158900;7099373;7305053;7660564;7802396;7550037;7652117;7678881;7919686;8051780;8296873;8578335;8723776;8579745;8772524;9263222;9251671;9483144;9626538;9713409;9587396;9424592;9763672;9872394;9812276;9896006;9883193;9446912;9916782;10182770;10028212;10072238;10099303;10612106;10598331;..
OECD Americas;Memo: Renewables;..;..;..;..;..;..;..;..;..;..;..;3199;2223;0;184;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11326;11899;12391;57137;58940;59745;60634;42589;47767;59108;60773;49689;58289;92441;96379;94906;96446;97990;92144;90830;140365;147979;135916;145406;169655;172590;154411;161377;171497;166440;..
OECD Americas;Memo: Coal, peat and oil shale;..;..;..;..;..;..;..;..;..;..;..;215767;161998;143989;157539;133601;116757;116932;135204;123918;77850;109802;122554;125539;135319;115619;114139;104198;106932;92247;101573;105519;49734;49002;47553;46158;65312;44539;38091;38190;38028;48900;91931;83672;104621;88527;64823;72002;73157;67007;63470;54713;38091;32333;36100;28463;22620;19715;17827;15822;..
