;TIME;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
OECD Americas;Memo: Coal, peat and oil shale;..;..;..;..;..;..;..;..;..;..;..;12729;9081;10750;8535;6744;5607;3517;2834;2494;2351;1953;760;193;54;110;82;82;82;109;54;0;27;54;54;27;27;27;27;27;27;27;27;27;27;27;0;0;0;27;27;0;27;0;0;0;0;0;0;0;..
OECD Americas;Memo: Primary and secondary oil;..;..;..;..;..;..;..;..;..;..;..;16695182;17786947;18712833;18475651;18836504;19749154;20380095;21194531;20923905;20161175;20180951;19873348;20054042;20638082;20836708;21174798;21867478;22809417;23097575;22967465;22667817;23174668;23542038;24384159;24796470;25435750;25894232;26602094;27300157;27799177;27853686;28288144;28834330;29362955;29756023;29818066;30030029;28705584;27441878;28326260;27715903;27243822;27888375;27860030;28762757;29027278;29208176;29670489;29558427;..
OECD Americas;Memo: Geothermal, solar/wind/other, heat, electricity;..;..;..;..;..;..;..;..;..;..;..;24952;26014;29056;28213;26420;23209;23792;18684;21492;21647;21604;20023;20556;23958;27252;27853;28624;30150;29981;30283;29624;30650;31075;31698;32065;32288;34776;38225;38088;37109;37069;41101;41468;42304;42692;44024;45011;46127;43499;43866;44615;46098;52207;56696;64447;73296;75930;81254;86491;..
OECD Asia Oceania;Coal and coal products;..;..;..;..;..;..;..;..;..;..;..;30189;24113;9749;7988;2390;1134;442;311;241;315;276;253;797;3347;3036;2957;3335;3109;3425;3122;3336;3560;3688;3685;3764;3752;4045;3964;3803;3805;4713;2530;3449;3930;7696;6657;7120;7695;7430;3998;2866;2446;38;43;68;40;40;40;40;..
OECD Asia Oceania;Peat and peat products;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Asia Oceania;Oil shale and oil sands;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Asia Oceania;Crude, NGL and feedstocks;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Asia Oceania;Oil products;..;..;..;..;..;..;..;..;..;..;..;2091946;2178614;2421462;2464672;2576770;2700870;2882494;3083699;3249532;3258210;3176561;3147861;3252751;3369427;3443539;3594190;3760350;3981547;4255959;4664523;4859999;5039855;5235720;5496585;5783185;5966056;6056706;5864193;6025955;6155990;6220629;6274133;6283839;6332552;6238671;6215493;6190589;6042479;5953586;6042666;5963594;5988036;5999856;5937396;6060571;6093221;6143216;6102778;6117324;..
OECD Asia Oceania;Natural gas;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;225;415;993;2311;3609;5649;5462;4887;4180;3367;2804;6654;7363;8206;8731;9295;9490;10061;10657;11720;13785;15388;18943;23191;26761;32399;39075;45069;51501;54470;59602;61056;64056;66833;66546;64950;67979;67412;69927;70615;..
OECD Asia Oceania;Nuclear;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Asia Oceania;Hydro;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Asia Oceania;Geothermal;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Asia Oceania;Solar/wind/other;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Asia Oceania;Biofuels and waste;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;2006;1156;1236;3893;8212;14019;19161;29439;30879;32283;34829;38059;42353;43781;43980;49953;49657;..
OECD Asia Oceania;Heat production from non-specified combustible fuels;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Asia Oceania;Electricity;..;..;..;..;..;..;..;..;..;..;..;44269;47963;50609;51566;53784;56200;57211;58198;59465;59569;60782;61794;63349;63295;65639;67543;69494;73955;78124;70887;74839;75200;76895;78487;80693;81073;81691;81172;82003;82865;83477;82877;86713;88828;90090;89592;90381;89782;88411;87006;86061;86635;87822;87247;92133;95111;94972;95636;97261;..
OECD Asia Oceania;Heat;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;..
OECD Asia Oceania;Total;..;..;..;..;..;..;..;..;..;..;..;2166404;2250689;2481820;2524226;2632944;2758204;2940146;3142208;3309238;3318318;3238035;3210901;3319208;3439678;3517864;3670153;3838067;4062791;4340875;4741335;4944827;5125979;5324510;5587488;5876938;6060371;6152504;5959986;6123481;6256445;6324207;6378522;6399199;6453226;6370091;6354710;6341370;6205476;6123058;6222710;6144456;6173457;6189378;6129292;6260074;6300132;6349620;6318333;6334898;..
OECD Asia Oceania;Memo: Renewables;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;2006;1156;1236;3893;8212;14019;19161;29439;30879;32283;34829;38059;42353;43781;43980;49953;49657;..
